"year";"date";"district";"ndvi_class";"ndvi_mean";"ndbi_mean";"lst_mean";"ndvi_stddev";"ndbi_stddev";"lst_stddev"
2021;2021-01-01;"Morro Santa Terezinha";"dense-vegetation";0.649558276185336;-0.188186149763049;NA;0.226156473324717;0.135876060379131;NA
2021;2021-01-01;"Morro Penha";"light-vegetation";0.580438631410408;-0.0736787314404057;NA;0.24607797791787;0.183405141914647;NA
2021;2021-01-01;"Vila Hayden";"bare-soil";0.250459421549788;0.157431664060459;NA;0.170436459024879;0.127901047971772;NA
2021;2021-01-01;"Morro Santa Maria";"dense-vegetation";0.654200280039588;-0.16336225905207;NA;0.291691479115458;0.190558026343831;NA
2021;2021-01-01;"Morro Caneleira";"dense-vegetation";0.632863124906048;-0.144567428854865;NA;0.277668647875568;0.208060667342969;NA
2021;2021-01-01;"Sao Jorge";"bare-soil";0.240481705817796;0.140084001726953;NA;0.205906980571243;0.156091540607199;NA
2021;2021-01-01;"Caneleira";"light-vegetation";0.381265645479589;0.0177957602617086;NA;0.305739274922132;0.21745386239216;NA
2021;2021-01-01;"Campo Grande";"bare-soil";0.171321484999911;0.171823510751737;NA;0.109025764446621;0.0924870431816366;NA
2021;2021-01-01;"Morro Embare";"dense-vegetation";0.899598363956862;-0.352551120450193;NA;0.042305313874337;0.040923402785025;NA
2021;2021-01-01;"Santa Maria";"bare-soil";0.173274728316069;0.196608002962985;NA;0.09168960008495;0.0737210575502983;NA
2021;2021-01-01;"Bom Retiro";"bare-soil";0.275382500077414;0.12281334554745;NA;0.223592923537837;0.173519807290807;NA
2021;2021-01-01;"Castelo";"bare-soil";0.190017509991165;0.192482792655208;NA;0.111517823471602;0.0923746404081518;NA
2021;2021-01-01;"Porto Macuco";"bare-soil";0.105588143219991;0.115407120388691;NA;0.130142163939239;0.0921030946059042;NA
2021;2021-01-01;"Embare";"bare-soil";0.198130221527279;0.15712477943662;NA;0.132087927855045;0.110148696995074;NA
2021;2021-01-01;"Vila Mathias";"bare-soil";0.214149214575436;0.167465222372171;NA;0.171643515060503;0.126440934967918;NA
2021;2021-01-01;"Jabaquara";"light-vegetation";0.3440986517435;0.0328577663186715;NA;0.279831642612559;0.185357695543061;NA
2021;2021-01-01;"Morro Cachoeira";"dense-vegetation";0.891537234694503;-0.352459221976274;NA;0.0546832541802115;0.0542466005389667;NA
2021;2021-01-01;"Radio Clube";"bare-soil";0.191867210712164;0.179873500984731;NA;0.112653201193712;0.0879052355959677;NA
2021;2021-01-01;"Estuario";"bare-soil";0.244471958014425;0.130904156841454;NA;0.146900947911718;0.105917309287816;NA
2021;2021-01-01;"Macuco";"bare-soil";0.193766910846754;0.174471169476082;NA;0.122512437253337;0.0945567324303762;NA
2021;2021-01-01;"Encruzilhada";"bare-soil";0.209421635439615;0.155073748996368;NA;0.132577540978816;0.105660998333908;NA
2021;2021-01-01;"Chico de Paula";"bare-soil";0.193851363881432;0.0558856770985834;NA;0.234844351394334;0.151177611671865;NA
2021;2021-01-01;"Jose Menino";"bare-soil";0.276462306128059;0.0349870569879472;NA;0.23086027632079;0.154252258967616;NA
2021;2021-01-01;"Sao Manoel";"bare-soil";0.228654230917007;0.0915513252949381;NA;0.191440183713288;0.136747251663786;NA
