"district";"d_ndvi_mean";"d_ndbi_mean";"d_lst_mean";"d_ndvi_median";"d_ndbi_median";"d_lst_median";"d_ndvi_std";"d_ndbi_std";"d_lst_std"
"Morro Marapé";0.696987404548141;-0.257461311301478;21.0591882825492;0.752320086657674;-0.274148639795598;25.920653860098;0.167551665597991;0.0604829319441579;15.1614959481077
"Morro Nova Cintra";0.558446692604992;-0.156297091574903;21.6314826095037;0.594762132468339;-0.163428964166539;26.5964858244656;0.11001505816219;0.0301584375354397;15.8697546377914
"Morro Pacheco";0.477305040238291;-0.0415085755179571;24.2275222617526;0.501713313954479;-0.0405299784176233;30.1369913540919;0.0827858835711874;0.0227799874185817;16.8284068872821
"Morro Penha";0.513531516206089;-0.0646588007091479;23.634998847266;0.541067440515808;-0.0642942547800527;29.1587001157539;0.0838297339502034;0.0271426953805536;17.2498889350453
"Morro Saboó";0.682254868144641;-0.230288947243358;21.4670311515637;0.729018684497503;-0.244751866931519;26.9574600698134;0.13574923940743;0.0534465750750683;15.5635881039299
"Morro Santa Maria";0.569849573785729;-0.152226852602011;21.7034500340884;0.611215018759683;-0.153851139329349;25.8294819179845;0.110426663503862;0.0300716434753106;15.5754320763583
"Morro Santa Terezinha";0.561537889522355;-0.173494554015314;21.7359138274175;0.591403283430964;-0.185049709626028;25.9649290043354;0.116010882376383;0.0448547641654063;15.4412985333709
"Morro São Bento";0.356548359215913;0.00218045053475486;23.7395321356319;0.380387076069262;0.00268015450588905;28.9330248834931;0.0659742427607333;0.0214910180204144;16.7462928134958
"Outeirinhos";0.111957285433539;0.14626432210016;27.3543608730694;0.11564458758774;0.169844687192943;31.027470065391;0.0318530895245062;0.0732655437397314;17.4759975883622
"Paquetá";0.160324471152253;0.132467891445537;26.0851052880864;0.17030853338941;0.150854733326993;30.5087183651537;0.0419270389037312;0.0544165321161508;17.398600514386
"Piratininga";0.262850743068091;-0.00897943082845042;24.9115536040237;0.275977048076445;-0.00592420656203745;28.7538325407428;0.0679845627973099;0.0310162294798889;17.4914764890293
"Pompéia";0.198635850992941;0.0790399921396471;24.6054552202788;0.211228217223236;0.0854973749179061;29.1065945588614;0.0446396692566047;0.0294736442852186;16.5137884664972
"Ponta da Praia";0.216462043906794;0.0817210055955219;24.6830088272834;0.229995255007307;0.0883442867127476;29.0687796608585;0.0493692109358723;0.0299560109484015;16.2930432482222
"Porto Alemoa";0.37910853053695;-0.125236165459641;21.732160611464;0.4108073751308;-0.126238843148801;24.9860535534186;0.0896773724575887;0.0271741292625092;16.3682604657394
"Porto Macuco";0.0760870201701052;0.0855195066707658;25.5872654827844;0.0798463328087313;0.095948361771481;29.7942395275328;0.0248314416727258;0.0477757410365497;17.5750052324099
"Porto Paquetá";0.13257987088176;0.0751957059649754;24.0112392791558;0.112232774843011;0.0861328458146864;28.1262337517441;0.0582843079580057;0.0391866852373579;16.2460069611506
"Porto Ponta Da Praia";0.0984307722186665;0.138869269034024;25.4300181260863;0.1012148307417;0.149202204667135;30.2446893182815;0.0248417356761419;0.0365549958668674;16.809242883895
"Porto Saboó";0.25163040770519;-0.00535838128216656;24.5892560748383;0.256712550645685;-0.00508013278057479;28.863697189592;0.0405320392308924;0.0194461531011213;17.4015733573295
"Porto Valongo";0.125366235352564;0.0492126794558495;24.0988317556518;0.118869116555384;0.0601313578270297;28.7833065543767;0.0367231205678001;0.0350877212822956;17.0854193421976
"Rádio Clube";0.191082562700467;0.145047697228585;26.0573287993117;0.197191258424462;0.156931352302902;30.1145888892964;0.0333034752873155;0.0352285583233994;17.7448677000476
"Saboó";0.277930801932146;0.0724490970673562;24.9680740339439;0.286652937461417;0.0795162957645049;30.2670376358764;0.0372673234588547;0.0302306189981577;17.0090164495733
"Santa Maria";0.188642455092725;0.157649519381963;26.7483654498764;0.19488736250995;0.167424745590577;31.5285828461049;0.0261232495114933;0.0303249314805897;17.7248268818911
"São Jorge";0.240288215661579;0.1116162246295;25.3370956725943;0.247193046771088;0.119615966082963;30.0769309113417;0.0366125311808623;0.0291346923058682;17.6392009900046
"São Manoel";0.206658601179336;0.0547588395906215;24.6181030762343;0.228654230917007;0.0676268830813025;28.848731342522;0.0599619106140458;0.0419931606400795;17.9647813279187
"Valongo";0.17730888694622;0.0917096637963742;25.9965189474786;0.182186527452925;0.105481879430546;31.0322970575988;0.0320232373525098;0.0376398336401281;17.7876426682439
"Vila Belmiro";0.220436951286184;0.111600543870424;25.4470744920788;0.232577492668055;0.12375376725065;28.8352621323047;0.049850714830492;0.039724666602486;16.3258749953137
"Vila Haddad";0.172873868722563;0.066824795203013;26.5353504776858;0.179301304900535;0.0738163827216303;30.268527683531;0.0323967177457337;0.0343907175101662;16.8698466209612
"Vila Hayden";0.245972470883464;0.13110473684757;25.532597747546;0.262802309298113;0.141855136204705;29.9373387782908;0.0554947417302598;0.0471533287084137;16.6082230897034
"Vila Mathias";0.193642555835221;0.119294764865978;27.4843251362887;0.206149745233211;0.13512431241781;31.0362288058097;0.0501996951911529;0.0578349504583146;17.1249143104927
"Vila Nova";0.171531200714662;0.153529838982325;26.8160631117111;0.184666661896212;0.1763811142718;31.1192913224229;0.0460924433324324;0.0647352171606315;17.3454858723086
"Vila Progresso";0.400533136978151;-0.0394945534268123;22.115950114899;0.428419385205003;-0.0390255435103134;27.2363511918513;0.0722102458698859;0.0194928813730121;16.0647597457888
